id,categoria_id,nombre,marca_id,volumen,precio
356475,9,Crown Royal Honey,1,750,22.49
15335,9,Crown Royal Regal Apple Mini,1,300,11.03
81345,9,Crown Royal Regal Apple,1,200,7.08
150318,9,Crown Royal Xr Canadian Whiskey,1,750,98.99
310791,9,Crown Royal Canadian Whisky Mini,1,300,11.03
54058,9,Crown Royal Canadian Whisky,1,200,7.25
284871,9,Crown Royal Canadian Whisky,1,375,11.63
150100,9,Crown Royal Canadian Whisky,1,1000,28.13
243566,9,Crown Royal Canadian Whisky,1,1750,47.99
245400,9,Crown Royal,1,200,7.08
336832,9,Seagrams V.o. Bl Canadian Whisky,1,750,11.25
202052,5,Captain Morgan Mango With Pitcher,1,750,10.64
7943,5,Captain Morgan Pineapple With Pitcher,1,750,10.64
185598,14,Club Cocktails Brass Monkey,1,750,5.21
338308,14,Club Cocktails Gin Martini,1,750,5.19
318333,14,Club Cocktails Manhattan,1,750,5.19
68242,14,Club Mudslide,1,1750,9.6
185896,14,Club Lime Margarita,1,1750,12.75
277119,14,Club Orange Craze,1,1750,8.19
251130,14,Club Peach Daiquiri Pouch,1,200,1.5
63769,14,Club Strawberry Margarita Pouch,1,200,1.5
135703,14,Club Strawberry Margarita,1,1750,12.75
103311,14,Club Cocktails Screwdriver,1,750,5.19
428257,14,Captain Morgan Long Island Iced Tea,1,1750,16.5
256146,14,Captain Morgan Parrot Bay Citrus Mojito,1,1750,15.75
167827,9,Crown Royal Regal Apple,1,375,11.63
387504,9,Crown Royal Regal Apple,1,1000,27.75
201598,9,Crown Royal 75th Anniversary,1,750,52.49
367664,9,Crown Royal Maple Mini,1,300,11.03
10034,9,Crown Royal Maple,1,750,22.5
159822,9,Crown Royal Maple,1,1000,27.75
50934,9,Crown Royal XO,1,750,37.49
380493,9,Crown Royal Northern Harvest Rye,1,750,25.5
89977,9,Crown Royal Black Mini,1,300,10.26
383396,9,Crown Royal Black,1,750,25.5
55925,9,Crown Royal Black,1,1750,50.69
308648,9,Crown Royal Cornerstone,1,750,44.99
380775,3,Cabin Fever Maple Flavored Whiskey,1,750,15
181045,9,Crown Royal Black,1,375,12.38
430292,5,Tanqueray Old Tom,1,1000,26.25
299044,5,Bailey's Candy Cane,1,200,6.21
138356,7,Smirnoff Coconut Mini,1,500,8.58
183087,47,Smirnoff Vodka 100 Prf,1,1750,24
461765,7,Jeremiah Weed Sweet Tea Vodka,1,750,14.99
221963,7,Jeremiah Weed Sweet Tea,1,1000,15.75
4887,7,Jeremiah Weed Sweet Tea Vodka,1,1750,22.46
336393,7,Jeremiah Weed Sweet Tea Mini,1,500,6.42
321712,7,Gordon's Orange Flavored Vodka,1,750,7.89
177773,19,Ciroc Luxury Vodka,1,375,13.88
277201,19,Ciroc Super Premium Vodka,1,750,27.75
281211,19,Ciroc Super Premium Vodka,1,1000,33.75
205566,1,Haig Club,1,750,37.49
36873,1,Johnnie Walker Select Cask,1,750,37.49
226728,1,J & B Rare Scotch,1,1750,33.75
261940,1,J & B Rare Scotch,1,1000,22.47
27812,1,J & B Rare Scotch,1,750,18.38
50329,1,J & B Rare Scotch,1,375,10.76
422948,1,J & B Rare Scotch,1,50,19.02
404936,1,Johnnie Walker Swing,1,750,51.74
410587,1,Johnnie Walker Double Black,1,750,35.24
300559,1,Johnnie Walker Platinum,1,750,89.99
366859,1,Johnnie Walker Black,1,750,31.49
446524,1,Johnnie Walker Black,1,1000,41.61
360258,1,Johnnie Walker Blue,1,750,195
445821,1,Johnnie Walker Gold Label Scotch,1,750,74.78
125862,1,Johnnie Walker Black,1,1750,52.5
107195,1,Johnnie Walker Red,1,375,12
454964,1,Johnnie Walker Red,1,750,21.74
185179,1,Johnnie Walker Red Label Scotch,1,1000,26.25
259078,1,Johnnie Walker Red,1,1750,41.24
36013,1,Johnnie Walker Green,1,750,48.74
262799,1,Johnnie Walker Gold Label Reserve,1,750,67.49
237753,1,Johnnie Walker Gold Label Reserve,1,750,67.49
264774,1,Oban Little Bay,1,750,65.24
26210,1,Haig & Haig Pinch (dimple) 15 Yr,1,750,31.86
189444,1,Talisker Storm,1,750,54.74
8426,1,King George Iv Scotch,1,1000,10.65
245168,1,Johnnie Walker Blue Gift Bottle HA,1,750,202.49
193623,1,Buchanan's Master,1,750,36.75
260957,1,Johnnie Walker Red Scotch Minis,1,502,19.58
9376,1,Buchanans 18yr Spec Res Scotch,1,750,58.59
